Date,Time,Location,Description
08/10/2023,,Gaza,"IDF fighter jets struck 120 terrorist targets over three rounds in the area of Beit Hanoun in Gaza. Beit Hanoun serves as a hub for the Hamas terrorist organization in the Gaza Strip, from which many operations against Israel were launched, including over the last two days. These strikes constitute significant progress in the IDF's responsive counterstrikes against the Hamas terrorist organization. Simultaneously, a Hamas operational terrorist tunnel was struck. The tunnel was located under a multi-story building in the northern part of Gaza City. A mosque is located adjacent to the tunnel, proving once again that Hamas deliberately embeds its military infrastructure in civilian areas."
08/10/2023,,Israel,The IDF identified a target approaching Israeli territory and launched an interceptor toward it. An initial inquiry indicates that this was not a hostile aircraft and did not pose a threat to civilians. No attack was carried out in Lebanese territory.
08/10/2023,,Israel,The Chief of the General Staff is conducting a situational assessment in southern Israel.
08/10/2023,,Israel,"A short while ago, IDF fighter jets conducted an intensive aerial strike, targeting sites adjacent to the security fence near Beit Hanoun used by the Hamas terrorist organization to carry out attacks against Israel"
08/10/2023,,Gaza,":over the past hour, IDF fighter jets struck 3 terrorist headquarters belonging to terrorist organizations in the Gaza Strip."
08/10/2023,,Israel,"The jets struck Hamas headquarters used for directing terrorist activities in Israel, Islamic Jihad headquarters used during their recent operations, and an addiitonal Islamic Jihad headquarters used by the organization's rocket launching force."
08/10/2023,,Unknown,"Attached is the updated list of communities that are being evacuated: Nahal Oz, Nir Am, Mefalsim, Kfar Aza, Gevim, Or Haner, Ivim, Netiv HaAsara, Yad Mordechai, Karmia, Zikim, Kerem Shalom, Kisufim, Holit, Sufa, Nirim, Nir Oz, Ein Hashlosha, Nir Yitzhack, Be'eri, Magen, Re'im, Sa'ad and Alumim."
08/10/2023,,Gaza,"The Israeli Navy neutralized 2 terrorists at Zikim Beach. Since the invasion by Hamas terrorists yesterday, the Israeli Navy has targeted dozens of terrorists and terrorist targets. Overnight, 5 vessels belonging to the Hamas terrorist organization attempted to infiltrate into Israeli waters. The attempt was thwarted by an IDF missile boat. In addition, vessels belonging to the Islamic Jihad terrorist organization that were docked in the Gaza Strip were targeted. The vessels were designated to be used to carry out attacks in Israeli waters."
08/10/2023,,Israel,Sirens continue to sound in southern Israel.
08/10/2023,,Gaza,":IAF UAVs struck a number of terrorist squads in the area surrounding Gaza overnight 3 terrorists attempting to approach the security fence in northern Gaza were neutralized and 7 additional terrorists were neutralized in Kibbutz Kfar Aza. A terrorist squad of 6 terrorists was neutralized by an IDF UAV adjacent to the Nahal Oz IDF Post. Two terrorist squads that attempted to infiltrate into Kibbutz Be'eri from the north and south were thwarted by a combined attack of two IDF aircraft. As part of the IDF's ongoing operational activity, hundreds of terrorists who invaded Israel have been thwarted."
08/10/2023,,Gaza,The IDF is currently striking targets belonging to the Hamas terrorist organization in Gaza.
08/10/2023,,Gaza,Sirens continue to sound in the southern Israel and the area surrounding Gaza
08/10/2023,,Gaza,IDF fighter jets struck a compound belonging to the head of the Hamas terrorist organization's intelligence department. The IDF is continuing to strike terrorist targets in the Gaza Strip.
08/10/2023,,Israel,"In the last few hours, IDF naval soldiers spotted 5 terrorists who were hidden in the area of the Zikim Beach in Israeli territory. The soldiers neutralized the terrorists, preventing them from infiltrating into civilian residential areas."
08/10/2023,,Unknown,"Attached is a link to the IDF website where updates, photos and details of the fallen soldiers are published: https://www.idf.il/59780"
08/10/2023,,Gaza,"Overnight, the IDF struck Hamas operational terrorist infrastructures used for carrying out terrorist activities against Israeli civilians. Intelligence headquarters and a terrorist compound used by the Hamas terrorist organization’s aerial forces were struck. Simultaneously, the IDF struck two banks used by the Hamas terrorist organization for terrorist funds, among them the Islamic National Bank which serves the organization by financing terrorist activity, and the First Bank belonging to the organization. In addition, the IDF struck an aerial weapons production site used by the Islamic Jihad terrorist organization's aerial forces in the city of Gaza, and a building including offices and storage units where the terrorist organization stored weapons and military equipment."
08/10/2023,,Gaza,"In accordance with the situational assessment, the entire area that is under the responsibility of the Gaza Division has been declared a closed military zone. The IDF emphasizes that entry into a closed military zone is prohibited and asks the public to be alert and not enter the area."
08/10/2023,,Israel,Sirens continue to sound in southern Israel.
08/10/2023,,Gaza,"Over the past hours, the Israeli Navy identified 7 terrorists in the area of Zikim Beach in Israeli territory. In response, IDF naval soldiers and IDF aircraft targeted the terrorists and prevented infiltration into civilian residential areas. Furthermore, a short while ago, IDF fighter jets struck three operational command centers, used by the Hamas terrorist organization to carry out terrorism against Israel from the Gaza Strip."
08/10/2023,,Gaza,"The IDF is continuing to strike in Gaza and target terrorists, sites struck include a rocket launching site and Hamas operational command centers. Over the past few hours, IDF aircraft struck a concealed launch site and two terrorists who were near it. In addition, a terrorist cell was spotted attempting to infiltrate into Israel by sea through the Zikim Beach, however the attempt was thwarted by IDF aircraft. Additional terrorists and vehicles were identified attempting to infiltrate the security fence from Gaza into Israel and were targeted by IDF aircraft. IDF fighter jets struck an operational command center belonging to the operatives of the Hamas terrorist organization's rocket launching array and an operational command center belonging to the Islamic Jihad terrorist organization."
07/10/2023,,Unknown,"The Commanding Officer of the Nahal brigade, COL Jonathan Steinberg, was killed during a confrontation with a terrorist."
07/10/2023,,Unknown,"Attached is an IDF Announcement regarding the death of Commander of the Nahal Brigade, Colonel (COL) Jonathan Steinberg: https://idfanc.activetrail.biz/ANC071020232983642"
07/10/2023,,Gaza,"IDF fighter jets struck military infrastructure in two multi-story buildings in the Gaza Strip used by senior Hamas terrorist operatives for carrying out terrorist activity. In one of the buildings, the IDF struck the offices of a number of the Hamas' terrorist units and arrays, including infrastructure of the Hamas Intelligence and production headquarters and offices belonging to senior Hamas leaders. The second building contained offices used by the Hamas terrorist organization General Security Apparatus. This demonstrates how the Hamas terrorist organization deliberately embeds its military assets in the heart of the civilian population in the Gaza Strip."
07/10/2023,,Gaza,The IDF is currently striking a number of targets belonging to the Hamas terrorist organization in the Gaza Strip. Details to follow.
07/10/2023,,Gaza,"IDF ground and aerial forces neutralized hundreds of terrorists in the area surrounding Gaza and southern Israel Over the last few hours, IDF ground and aerial forces operated in a number of locations in southern Israel and neutralized hundreds of Hamas terrorists. Two IDF aircraft neutralized terrorists attempting to infiltrate the security fence near the Karni crossing. Nine additional terrorists were neutralized in the area of Kibbutz Nirim , and four more terrorists were neutralized at the Erez Crossing and at Kibbutz Nir Oz by IDF fighter jets. Additional terrorists were neutralized in Kibbutz Sufa, Kfar Aza, and Kerem Shalom. Additional terrorists were neutralized at additional locations by IDF aircraft."
07/10/2023,,Gaza,IDF fighter jets struck a number of targets belonging to the Hamas terrorist organization in Gaza.
07/10/2023,,Israel,Sirens continue to sound throughout southern Israel.
07/10/2023,,Israel,"IDF naval forces thwarted dozens of terrorists in the southern maritime area and along the coastline Earlier this morning, IDF naval forces conducted a naval pursuit and targeted dozens of terrorists who attempted to infiltrate into Israel. The soldiers opened fire toward the terrorists and thwarted dozens of them, as well as two rubber boats and two additional vessels."
07/10/2023,,Gaza,"The IDF is continuing to strike Hamas terrorist targets in Gaza. A short while ago, an IDF aircraft targeted an additional Hamas terrorist cell adjacent to the Erez Crossing."
07/10/2023,,Gaza,"The IDF is continuing to strike Hamas terrorist targets and operatives A short while ago, IDF aircraft targeted a number of terrorists along the Gaza security fence."
07/10/2023,,Israel,Sirens continue to sound in southern Israel
07/10/2023,,Gaza,"Dozens of IDF fighter jets struck Hamas terror targets in the Gaza Strip. In the last few hours, dozens of IDF fighter jets struck 17 military compounds and 4 operational command centers belonging to the Hamas terrorist organization in the Gaza Strip."
07/10/2023,,Unknown,The IDF Spokesperson's Unit emphasizes the importance of all civilians following the life-saving instructions of the Home Front Command.
07/10/2023,,Gaza,"IDF Spokesperson: ""The IDF is currently reinforcing the south and the communities surrounding Gaza with several operational forces. Operational commanders are arriving to manage combat in each location. Simultaneously, we have begun a wide mobilization of reserve forces for all IDF units.""This morning (Saturday), approximately 2,200 rockets were launched from the Gaza Strip into Israeli territory . Simultaneously, a number of Hamas terrorists infiltrated into Israel in southern Israel. In response, the IDF has launched Operation “Swords of Iron ”. The Chief of General Staff has announced an extensive mobilization of reserve forces. Numerous IDF units, including special forces, have been dispatched to the area surrounding the Gaza Strip and are operating in a number of different locations in the area in order to protect the residents of southern Israel."
07/10/2023,,Gaza,IDF fighter jets are striking targets belonging to the Hamas terrorist organization in Gaza in response to the non-stop barrages of rockets launched toward southern and central Israel throughout this morning.
07/10/2023,,Gaza,"sirens continue to sound in the Lakhish area, the HaShfela region, western Negev, the area surrounding the Gaza Strip, Ashdod, Ashkelon, Jerusalem and central Israel."
07/10/2023,,Gaza,Dozens of IDF fighter jets struck a number of targets belonging to the Hamas terrorist organization in the Gaza Strip.
07/10/2023,,Unknown,"IDF operation against the Hamas terrorist organization has been named Operation ""Swords of Iron""."
07/10/2023,,Gaza,"The IDF declares a state of alert for war. over the past hour, the Hamas terrorist organization launched massive barrages of rockets from Gaza into Israel, and its  terrorist operatives have infiltrated into Israel in a number of different locations in the south. Civilians in southern and central Israel must remain near shelters, and in the area surrounding the Gaza Strip, inside shelters . The Chief of the General staff is currently conducting a situational assessment and approving plans for the IDF's continued activity. The Hamas terrorist organization is responsible for these attacks and will face consequences for them."
07/10/2023,,Unknown,Sirens sounded in the city of Jerusalem.
07/10/2023,,Israel,Sirens continue to sound throughout Central and Southern Israel.
07/10/2023,,Gaza,Initial report – A number of terrorists have infiltrated into Israeli territory from Gaza. Residents in the surrounding area have been asked to remain in their homes. Details to follow.
07/10/2023,,Gaza,"Over the past half an hour, barrages of rockets have been launched by the Hamas terrorist organization from Gaza into Israel. We urge the public in southern and central Israel to stay near protected areas and follow the instructions of the Home Front Command."
07/10/2023,,Israel,Sirens sounded in Central and Southern Israel. Details to follow
